"Kernel Name","main_kernel",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Local","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7f9033775810","      FENCE.VIEW.ASYNC.S","18","9","18","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","13","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","6"
"0x7f9033775820","      LEA R0, R2, R165, 0x18","32","24","32","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0"
"0x7f9033775830","      SYNCS.PHASECHK.TRANS64.TRYWAIT P0, [R0+URZ+0x40], RZ","14","12","14","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","3"
"0x7f9033775840","@!P0  BRA 0x7f903377ca80","3491","2989","3491","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","3488","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2986","0","0","0","0","0","0","0","0","0","0","3"
"0x7f9033775850","      MEMBAR.ALL.CTA","9","9","9","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"0x7f9033775860","      FENCE.VIEW.ASYNC.S","12","6","12","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","3","0","0","0","4","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","3"
"0x7f9033775870","      LEA R0, R2, R165, 0x18","1","0","1","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f9033775880","      IADD3 R165, R165, 0x400, RZ","2","0","2","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f9033775890","      LEA R165, R2, R165, 0x18","15","7","15","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","3","4","0","0","0","4","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","4"
"0x7f90337758a0","      SYNCS.PHASECHK.TRANS64.TRYWAIT P0, [R0+URZ], RZ","29","21","29","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0"
"0x7f90337758b0","      SHF.R.S32.HI R0, RZ, 0x1f, R3","17","15","17","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","1"
"0x7f90337758c0","      LEA.HI R0, R0, R3, RZ, 0x7","7","4","7","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"0x7f90337758d0","      SHF.R.S32.HI R3, RZ, 0x7, R0","7","1","7","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7f90337758e0","      LEA.HI R0, R0, R3, RZ, 0x1","7","4","7","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"0x7f90337758f0","      LOP3.LUT R0, R0, 0x7fffe, RZ, 0xc0, !PT","7","4","7","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"0x7f9033775900","      IADD3 R0, R3, -R0, RZ","6","4","6","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"0x7f9033775910","      IMAD R0, R0, 0x2000, R165","7","4","7","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"0x7f9033775920","      IADD3 R0, R0, 0x20000, RZ","12","5","12","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
